Name,Lat1,Lon1,Lat2,Lon2
"HSU408BN11,A408B",35.41593,-119.598998,35.461837,-119.487267
"HSU408BN12,A408B",35.482991,-119.491055,35.461837,-119.487267
"HSU408BN12,HSR401",35.482991,-119.491055,35.492691,-119.473314
"HSU409AC65,A409A",35.368324,-118.962797,35.184184,-118.869702
"HSU409AC68,A409A",35.331307,-118.998731,35.184184,-118.869702
"HSU409AC74,A409A",35.298837,-119.109922,35.184184,-118.869702
"HSU409BD86,A409B",35.088059,-118.995605,35.14979,-119.035894
"HSU409CD86,A409C",35.137583,-119.188578,35.138114,-119.12863
"HSUR401,R_KER",35.587773,-119.510058,35.748516,-119.616313
"HU408A,CVPM19AG",35.413837,-119.379365,35.36389024,-119.4031166
"HU408A,CVPM19AS",35.413837,-119.379365,35.36389024,-119.3941334
"HU408B,CVPM19BG",35.469424,-119.468673,35.45817852,-119.4917586
"HU408B,CVPM19BS",35.469424,-119.468673,35.45817852,-119.4827754
"HU409A,CVPM21AG",35.171745,-118.913806,35.18051293,-118.8741936
"HU409A,CVPM21AS",35.171745,-118.913806,35.18051293,-118.8652104
"HU409B,CVPM21BG",35.149061,-119.049689,35.14611738,-119.0403856
"HU409B,CVPM21BS",35.149061,-119.049689,35.14611738,-119.0314024
"HU409C,CVPM21CG",35.117182,-119.129184,35.13444085,-119.1331216
"HU409C,CVPM21CS",35.117182,-119.129184,35.13444085,-119.1241384
"INT_CVPM19,HGR19",35.39798378,-119.4705714,35.430922,-119.512365
"INT_CVPM21,HGR21",35.22738405,-119.0833364,35.238154,-119.030561
"N10,HSU408AN10",35.567112,-119.411175,35.471629,-119.429693
"N10,HSU408BN10",35.567112,-119.411175,35.463503,-119.447133
"N11,HSU408AN11",35.370507,-119.758709,35.527321,-119.593604
"N11,HSU408BN11",35.370507,-119.758709,35.41593,-119.598998
"N12,HSU408AN12",35.572836,-119.490197,35.508649,-119.551324
"N12,HSU408BN12",35.572836,-119.490197,35.482991,-119.491055
"PMP_Buena,D860",35.158966,-119.344948,35.090484,-119.332074
"PMP_Wheelr,D862A",35.033408,-119.008437,35.028653,-119.001879
"PMPChris,D862B",35.017257,-118.980479,34.964901,-118.911872
"R401,HSUR401",35.507359,-119.457096,35.587773,-119.510058
"R_KER,C73",35.748516,-119.616313,35.325482,-119.21283
"SR_BVLB,D859",35.224567,-119.262113,35.261828,-119.307634
"HNP410,HXI410",35.36822003,-119.0127336,35.37371382,-119.0127336
"HP410,U410",35.37371382,-119.0037504,35.375545,-119.008242
"HXI410,EXT_BAKER",35.37371382,-119.0127336,35.3718826,-119.0127336
"INT_BAKER,WWP410",35.3718826,-119.0037504,35.36822003,-119.008242
"U410,HXI410",35.375545,-119.008242,35.37371382,-119.0127336
"U410,INT_BAKER",35.375545,-119.008242,35.3718826,-119.0037504
"WTP410,U410",35.37737614,-119.0015046,35.375545,-119.008242
"WWP410,HNP410",35.36822003,-119.008242,35.36822003,-119.0127336
"WWP410,HP410",35.36822003,-119.008242,35.37371382,-119.0037504
"U408,Ext_CVPM19",35.401645,-119.475063,35.39798378,-119.4795546
"U408,INT_CVPM19",35.401645,-119.475063,35.39798378,-119.4705714
"HNP407,HXI407",35.75644143,-119.2488686,35.76190867,-119.2488686
"HP407,U407",35.76190867,-119.2398854,35.763731,-119.244377
"HXI407,EXT_CVPM20",35.76190867,-119.2488686,35.7600863,-119.2488686
"INT_CVPM20,WWP407",35.7600863,-119.2398854,35.75644143,-119.244377
"U407,HXI407",35.763731,-119.244377,35.76190867,-119.2488686
"U407,INT_CVPM20",35.763731,-119.244377,35.7600863,-119.2398854
"WTP407,U407",35.76555329,-119.2376396,35.763731,-119.244377
"WWP407,HNP407",35.75644143,-119.244377,35.75644143,-119.2488686
"WWP407,HP407",35.75644143,-119.244377,35.76190867,-119.2398854
