Name,Type,Latitude,Longitude
INT_CLWA,Urban Demand,34.4329424813875,-118.543736423579
U503,Junction,34.436647,-118.548228
WTP503,Water Treatment,34.4384991977241,-118.541490635369
WWP503,Water Treatment,34.4292377985629,-118.548228
ERes_VENT,Urban Demand,34.1403486038045,-119.151893152841
HNP501,Junction,34.1291953017592,-119.147401576421
HP501,Junction,34.1347721367672,-119.138418423579
HXI501,Junction,34.1347721367672,-119.147401576421
IND_VENT,Urban Demand,34.1329132326487,-119.14291
IRES_VENT,Urban Demand,34.1329132326487,-119.133926847159
U501,Junction,34.136631,-119.14291
WTP501,Water Treatment,34.1384898223461,-119.136172635369
WWP501,Water Treatment,34.1291953017592,-119.14291
A502,Junction,34.8080839752265,-118.229758
AGG_AV,Agricultural Demand,34.8007078597523,-118.234249576421
HSU502N7,Junction,34.7988637277479,-118.220774847159
HU502,Junction,34.804396,-118.229758
C124,Junction,34.4799750000001,-117.865372
C161,Junction,34.434379,-118.060554
D865,Junction,34.826237,-118.707665
D868,Junction,34.769587,-118.531548
D870,Junction,34.575924,-118.179427
D871,Junction,34.491822,-117.685021
D884,Junction,34.777319,-118.728724
GW_AV,Groundwater Storage,34.8777040000001,-118.250676
HARAV,Junction,34.938641,-118.256382
HARMJ,Junction,34.568284,-117.812979
HGPAV,Junction,34.787788,-118.302912
HGRAV,Junction,34.844968,-118.167828
N7,Junction,34.853002,-118.528762
PMP_OSO,Pump Plant,34.812125,-118.721156
PMP_Pearb,Pump Plant,34.512435,-117.921549
PWP_Alamo,Power Plant,34.819978,-118.695923
EXT_AV,Urban Demand,34.6816135392406,-118.155227576421
HNP502,Junction,34.6779199137244,-118.155227576421
HP502,Junction,34.6834602902155,-118.146244423579
HXI502,Junction,34.6834602902154,-118.155227576421
INT_AV,Urban Demand,34.6816135392406,-118.146244423579
U502,Junction,34.685307,-118.150736
WTP502,Water Treatment,34.6871536685934,-118.143998635369
WWP502,Water Treatment,34.6779199137244,-118.150736
C122,Junction,36.068687,-117.962299
